CLM_NBR, CLM_BR_NBR_OLD, CLM_BR_NBR_NEW
387480094,          , 28792327
387480093,          , 28792204
387480095,          , 28792563
387480096,          , 28792929
387133191,  28292689, 28793640
387480097,          , 28793450
387480098,  26990382, 28793599
385842191,  26402150, 28793606
387480099,          , 28793756
387133195,  28292698, 28793789
387133196,  28292699, 28793986
387133198,  28292703, 28794219
385872061,  25835052, 28795041
385872086,  26069905, 28795061
385872055,  26196219, 28794862
387481059,          , 28796133
387481059,  28796133, 28796245
385872004,  26180753, 28796434
385872134,  26212945, 28796847
385901155,  26321569, 28796823
385872151,  26077315, 28796940
385065138,  25143114, 28797111
387133200,  28292704, 28798606
385872213,  26073365, 28798347
385872227,  26390046, 28798294
387133212,  28292722, 28798842
387133215,  28292724, 28798951
387133227,  28292743, 28799230
387482131,  38614869, 28800308
387482072,  85212245, 28800260
387482034,  26761462, 28800227
387485075,  26204391, 28802004
387486181,  26491543, 28802113
387486193,  26976641, 28802114
387487143,  27895993, 28802202
387487135,  27650519, 28802200
387487108,  27949952, 28802197
387487042,  27647514, 28802189
387487041,  27077349, 28802190
387490224,  28123618, 28802679
387490196,  38564368, 28802653
387490037,  28465972, 28802514
387495010,  28537292, 28805167
387495036,  27226742, 28805191
387495062,  27423266, 28805209
387495205,  28223062, 28805338
387495146,  26477750, 28805284
387460002,  26584689, 28807361
387479005,  25218819, 28807350
385936158,  25088755, 28807348
387452014,  24687659, 28807346
387411225,  24329713, 28807341
387478200,  22586399, 28807339
387459009,  26684311, 28807368
387450074,  26724460, 28807370
387461074,  26955442, 28807378
387487131,  27063760, 28807387
387450204,  27220566, 28807400
387423207,  27181803, 28807398
387487114,  27240701, 28807401
387469222,  27537490, 28807421
387451133,  27457886, 28807419
387460162,  27456111, 28807416
387406163,  27258321, 28807402
387417146,  27601183, 28807424
387487009,  27725288, 28807431
387487226,  27797104, 28807436
387487100,  27937368, 28807444
387452027,  27845245, 28807439
387452153,  28162692, 28807450
387452150,  28125874, 28807449
387452188,  28061566, 28807448
387422158,  27994570, 28807445
387452160,  28162716, 28807451
387458148,  28432645, 28807460
387405144,  28647217, 28807464
387405145,  28647217, 28807465
387405095,  28647728, 28807466
387408121,  28651458, 28807474
387408083,  28651441, 28807472
387408087,  28651441, 28807473
387408135,  28651465, 28807475
387513067,  26483599, 28809712
387520160,  10392020, 28812141
387520037,  10162020, 28812112
387520029,  26911841, 28812111
387520028,  26677913, 28812110
387520084,  26795503, 28812120
387520074,  26647498, 28812119
387520073,  26652188, 28812118
387520070,  10222020, 28812116
387520060,  25874946, 28812114
387520124,  10342020, 28812132
387520123,  26327800, 28812133
387520113,  26546680, 28812130
387520088,  27182959, 28812121
387520107,  26824602, 28812126
387520105,  10252020, 28812125
387520135,  26677365, 28812136
387520144,  10072020, 28812138
387520165,  27367958, 28812142
387520221,  27448030, 28812152
387520209,  16273974, 28812150
387520195,  10062020, 28812148
387520191,  10272020, 28812147
387218107,  28398298, 28814488
387408163,  28651492, 28814652
387225228,  28412388, 26392832
385936072,  25608424, 28815600
387225201,  28412333, 28816028
387526008,          , 28816497
387349175,  28599819, 28816620
387526093,  28633190, 28816667
385871179,  26460211, 28816797
385895132,  26492736, 28816939
385883197,  26462121, 28817033
385064176,  26032040, 28817199
387329081,  28558148, 28817252
387329075,  28558141, 28817294
387148211,  28314737, 28817426
387329099,  28558182, 28817578
387462095,  28765049, 28818405
387408148,  28651483, 28818698
387133183,  28292671, 28819831
387133186,  28292680, 28819928
387408157,  28221855, 28819976
387338207,  28577668, 28820935
387338215,  28577678, 28821936
